"year","sector","grupo","value"
1998,"Metaliferos","Molibdeno",948.655372
1998,"Metaliferos","Níquel",5612.981446
1998,"Metaliferos","Oro",33882.247057
1998,"Metaliferos","Plata",4668.104809
1998,"Metaliferos","Plomo",2288.64225
1998,"Metaliferos","Talio",179.367354
1998,"Metaliferos","Tantalio",274.472459
1998,"Metaliferos","Titanio",1432.939529
1998,"Metaliferos","Torio",0.917465
1998,"Metaliferos","Uranio",265.908193
1998,"Metaliferos","Vanadio",132.65692
1998,"Metaliferos","Volframio",202.81288
1998,"No metaliferos","Abrasivos naturales",1.64379
1998,"No metaliferos","Amianto (asbesto, incluye crocidolita)",383.596401
1998,"No metaliferos","Arcillas",577.46673
1998,"No metaliferos","Arenas",771.989932
1998,"No metaliferos","Asfaltita",366.595619
1998,"No metaliferos","Azufre",754.691049
1998,"No metaliferos","Baritina",242.449784
1998,"No metaliferos","Bentonita",309.988609
1998,"No metaliferos","Boratos",970.873243
1998,"No metaliferos","Caolín",1575.893505
1998,"No metaliferos","Creta",123.703101
1998,"No metaliferos","Cuarzo",84.204631
1998,"No metaliferos","Diatomitas",133.089597
1998,"No metaliferos","Feldespato",237.036754
1998,"No metaliferos","Fluorita",353.170046
1998,"No metaliferos","Fosfatos",1946.197617
1998,"No metaliferos","Grafito",175.867624
1998,"No metaliferos","Litio",321.528797
1998,"No metaliferos","Magnesio",1047.748254
1998,"No metaliferos","Materias minerales activadas (diatomita, arcillas, bauxita, etc.)",328.70575
1998,"No metaliferos","Mica",79.031702
1998,"No metaliferos","Mullita",35.586015
1998,"No metaliferos","Oxidos de hierro",612.299777
1998,"No metaliferos","Potasio",4074.668799
1998,"No metaliferos","Sal",1247.328164
1998,"No metaliferos","Sulfatos",593.631818
1998,"No metaliferos","Sulfatos de magnesio",67.513906
1998,"No metaliferos","Talco",367.844985
1998,"No metaliferos","Tierras Colorantes",12.542506
1998,"No metaliferos","Turba",576.219932
1998,"No metaliferos","Vermiculita y perlita",122.356379
1998,"No metaliferos","Witherita",3.285629
1998,"No metaliferos","Yesos",626.955759
1998,"Piedras preciosas y/o semipreciosas","Piedras preciosas o semipreciosas",779.508151
1998,"Rocas de aplicacion","Adoquines, encintados y losas para pavimentos, de piedra natural (excepto la pizarra)",303.675631
1998,"Rocas de aplicacion","Arcillas Dilatadas",149.107524
1998,"Rocas de aplicacion","Arenisca",20.941017
1998,"Rocas de aplicacion","Cales",304.667082
1998,"Rocas de aplicacion","Caliza",444.585502
1998,"Rocas de aplicacion","Cantos rodados y Triturados pétreos",698.382203
1998,"Rocas de aplicacion","Cementos",5254.547932
1998,"Rocas de aplicacion","Cuarcita",38.628019
1998,"Rocas de aplicacion","Demas minerales n.c.p (incluye arenas de circonio, espomudeno y tierras colorantes)",703.223047
1998,"Rocas de aplicacion","Demás piedras de talla o constucción",137.287416
1998,"Rocas de aplicacion","Dolomita",226.331667
1998,"Rocas de aplicacion","Granito",3170.915059
1998,"Rocas de aplicacion","Granulos,tasquiles y polvo de mármol y arenisca",198.722276
1998,"Rocas de aplicacion","Lanas de escoria de rocas y lanas de minerales",633.296946
1998,"Rocas de aplicacion","Las demás piedras de talla o de construcción (incluye bolas de piedra para molinos y las demás manufacturas de las demás piedras)",254.775757
1998,"Rocas de aplicacion","Losetas, cubos, dados y artículos similares, incluso en forma distinta a la cuadrada o rectangular",78.539665
1998,"Rocas de aplicacion","Mármoles",1783.968631
1998,"Rocas de aplicacion","Mármoles y travertinos",454.330495
1998,"Rocas de aplicacion","Piedra pómez",46.424784
1998,"Rocas de aplicacion","Piedras talladas o aserradas",85.641709
1998,"Rocas de aplicacion","Pizarra",435.650073
1998,"Rocas de aplicacion","Triturados pétreos",39.14102
1999,"Combustibles","Hullas",3866.195174
1999,"Metaliferos","Aluminio",5392.813347
1999,"Metaliferos","Aluminio y bauxita",1185.481203
1999,"Metaliferos","Antimonio",116.661814
1999,"Metaliferos","Arenas de escorias de siderurgia",219.299136
1999,"Metaliferos","Berilio",2.670199
1999,"Metaliferos","Bismuto",249.671353
1999,"Metaliferos","Cadmio",9.798562
1999,"Metaliferos","Cenizas y residuos",1409.360245
1999,"Metaliferos","Cinc",7326.357607
1999,"Metaliferos","Circonio",345.508565
1999,"Metaliferos","Cobalto",1556.666013
1999,"Metaliferos","Cobre",21220.396381
1999,"Metaliferos","Cromo",530.361707
1999,"Metaliferos","Demás desperdicios metalicos",230.318461
1999,"Metaliferos","Estaño",1743.718781
1999,"Metaliferos","Ferroaleaciones",7343.79316
1999,"Metaliferos","Hierro",10989.018954
1999,"Metaliferos","Magnesio",1042.896719
1999,"Metaliferos","Manganeso",859.977707
1999,"Metaliferos","Min.y Conc, de metales preciosos",703.247789
1999,"Metaliferos","Molibdeno",643.957204
1999,"Metaliferos","Níquel",6267.612783
1999,"Metaliferos","Oro",27494.854764
1999,"Metaliferos","Plata",3484.138685
1999,"Metaliferos","Plomo",2248.966533
1999,"Metaliferos","Talio",168.149354
1999,"Metaliferos","Tantalio",395.577507
1999,"Metaliferos","Titanio",1156.22856
1999,"Metaliferos","Torio",1.437075
1999,"Metaliferos","Uranio",182.084252
1999,"Metaliferos","Vanadio",125.380372
1999,"Metaliferos","Volframio",179.499374
1999,"No metaliferos","Abrasivos naturales",0.28548
1999,"No metaliferos","Amianto (asbesto, incluye crocidolita)",337.138086
1999,"No metaliferos","Arcillas",555.794865
1999,"No metaliferos","Arenas",831.822309
1999,"No metaliferos","Asfaltita",428.569903
1999,"No metaliferos","Azufre",804.601389
